"","skill","jobref","count"
"1","SQL","job83779932",0
"2","Python","job83779932",1
"3","communication skills","job83779932",0
"4","Scala","job83779932",0
"5","predictive analytics","job83779932",0
"6","Natural Language Processing","job83779932",0
"7","Analytical","job83779932",0
"8","Creativity","job83779932",0
"9","Mathematics","job83779932",0
"10","Math","job83779932",0
"11","Programming","job83779932",0
"12","structured Data","job83779932",0
"13","data Mining","job83779932",0
"14","scientific Method","job83779932",0
"15","Math","job83779932",0
"16","project Management","job83779932",0
"17","data Management","job83779932",0
"18","Statistics","job83779932",0
"19","product design","job83779932",0
"20","business Development","job83779932",0
"21","machine Learning","job83779932",0
"22","algorithms","job83779932",0
"23","database","job83779932",0
"24","graphical Models","job83779932",0
"25","Models","job83779932",0
"26","modelling","job83779932",0
"27","unstructured data","job83779932",0
"28","optimisation","job83779932",0
"29","bayesian","job83779932",0
"30","front end","job83779932",0
"31","system administration","job83779932",0
"32","back end","job83779932",0
"33","big data","job83779932",0
"34","distributed data","job83779932",0
"35","cloud Management","job83779932",0
"36","Hadoop","job83779932",0
"37","Java","job83779932",0
"38","R","job83779932",0
"39","Hive","job83779932",0
"40","Mapreduce","job83779932",0
"41","NoSQL","job83779932",1
"42","Pig","job83779932",0
"43","SAS","job83779932",0
"44","C","job83779932",0
"45","Oracle","job83779932",0
"46","Teradata","job83779932",0
"47","SPSS","job83779932",0
"48","Matlab","job83779932",0
"49","Perl","job83779932",0
"50","MySQL","job83779932",0
"51","PostgreSQL","job83779932",0
"52","Ruby","job83779932",0
"53","HTML","job83779932",0
"54","Stata","job83779932",0
"55","Julia","job83779932",0
"56","SQL","job83697607",2
"57","Python","job83697607",2
"58","communication skills","job83697607",0
"59","Scala","job83697607",3
"60","predictive analytics","job83697607",0
"61","Natural Language Processing","job83697607",0
"62","Analytical","job83697607",2
"63","Creativity","job83697607",0
"64","Mathematics","job83697607",0
"65","Math","job83697607",0
"66","Programming","job83697607",0
"67","structured Data","job83697607",0
"68","data Mining","job83697607",0
"69","scientific Method","job83697607",0
"70","Math","job83697607",0
"71","project Management","job83697607",0
"72","data Management","job83697607",0
"73","Statistics","job83697607",0
"74","product design","job83697607",0
"75","business Development","job83697607",0
"76","machine Learning","job83697607",4
"77","algorithms","job83697607",1
"78","database","job83697607",0
"79","graphical Models","job83697607",0
"80","Models","job83697607",1
"81","modelling","job83697607",1
"82","unstructured data","job83697607",0
"83","optimisation","job83697607",0
"84","bayesian","job83697607",0
"85","front end","job83697607",0
"86","system administration","job83697607",0
"87","back end","job83697607",0
"88","big data","job83697607",1
"89","distributed data","job83697607",0
"90","cloud Management","job83697607",0
"91","Hadoop","job83697607",1
"92","Java","job83697607",2
"93","R","job83697607",1
"94","Hive","job83697607",0
"95","Mapreduce","job83697607",0
"96","NoSQL","job83697607",0
"97","Pig","job83697607",0
"98","SAS","job83697607",0
"99","C","job83697607",0
"100","Oracle","job83697607",0
"101","Teradata","job83697607",0
"102","SPSS","job83697607",0
"103","Matlab","job83697607",0
"104","Perl","job83697607",0
"105","MySQL","job83697607",0
"106","PostgreSQL","job83697607",0
"107","Ruby","job83697607",0
"108","HTML","job83697607",0
"109","Stata","job83697607",0
"110","Julia","job83697607",0
"111","SQL","job83649689",0
"112","Python","job83649689",1
"113","communication skills","job83649689",0
"114","Scala","job83649689",0
"115","predictive analytics","job83649689",0
"116","Natural Language Processing","job83649689",0
"117","Analytical","job83649689",0
"118","Creativity","job83649689",0
"119","Mathematics","job83649689",0
"120","Math","job83649689",0
"121","Programming","job83649689",0
"122","structured Data","job83649689",0
"123","data Mining","job83649689",0
"124","scientific Method","job83649689",0
"125","Math","job83649689",0
"126","project Management","job83649689",0
"127","data Management","job83649689",0
"128","Statistics","job83649689",0
"129","product design","job83649689",0
"130","business Development","job83649689",0
"131","machine Learning","job83649689",2
"132","algorithms","job83649689",0
"133","database","job83649689",0
"134","graphical Models","job83649689",0
"135","Models","job83649689",0
"136","modelling","job83649689",0
"137","unstructured data","job83649689",0
"138","optimisation","job83649689",0
"139","bayesian","job83649689",0
"140","front end","job83649689",0
"141","system administration","job83649689",0
"142","back end","job83649689",0
"143","big data","job83649689",0
"144","distributed data","job83649689",0
"145","cloud Management","job83649689",0
"146","Hadoop","job83649689",0
"147","Java","job83649689",0
"148","R","job83649689",1
"149","Hive","job83649689",0
"150","Mapreduce","job83649689",0
"151","NoSQL","job83649689",0
"152","Pig","job83649689",0
"153","SAS","job83649689",0
"154","C","job83649689",0
"155","Oracle","job83649689",0
"156","Teradata","job83649689",0
"157","SPSS","job83649689",0
"158","Matlab","job83649689",0
"159","Perl","job83649689",0
"160","MySQL","job83649689",0
"161","PostgreSQL","job83649689",0
"162","Ruby","job83649689",0
"163","HTML","job83649689",0
"164","Stata","job83649689",0
"165","Julia","job83649689",0
"166","SQL","job83636955",0
"167","Python","job83636955",0
"168","communication skills","job83636955",0
"169","Scala","job83636955",0
"170","predictive analytics","job83636955",0
"171","Natural Language Processing","job83636955",6
"172","Analytical","job83636955",0
"173","Creativity","job83636955",0
"174","Mathematics","job83636955",0
"175","Math","job83636955",0
"176","Programming","job83636955",0
"177","structured Data","job83636955",0
"178","data Mining","job83636955",0
"179","scientific Method","job83636955",0
"180","Math","job83636955",0
"181","project Management","job83636955",0
"182","data Management","job83636955",0
"183","Statistics","job83636955",0
"184","product design","job83636955",0
"185","business Development","job83636955",0
"186","machine Learning","job83636955",2
"187","algorithms","job83636955",0
"188","database","job83636955",0
"189","graphical Models","job83636955",0
"190","Models","job83636955",0
"191","modelling","job83636955",0
"192","unstructured data","job83636955",0
"193","optimisation","job83636955",0
"194","bayesian","job83636955",0
"195","front end","job83636955",0
"196","system administration","job83636955",0
"197","back end","job83636955",0
"198","big data","job83636955",0
"199","distributed data","job83636955",0
"200","cloud Management","job83636955",0
"201","Hadoop","job83636955",0
"202","Java","job83636955",0
"203","R","job83636955",0
"204","Hive","job83636955",0
"205","Mapreduce","job83636955",0
"206","NoSQL","job83636955",0
"207","Pig","job83636955",0
"208","SAS","job83636955",0
"209","C","job83636955",0
"210","Oracle","job83636955",0
"211","Teradata","job83636955",0
"212","SPSS","job83636955",0
"213","Matlab","job83636955",0
"214","Perl","job83636955",0
"215","MySQL","job83636955",0
"216","PostgreSQL","job83636955",0
"217","Ruby","job83636955",0
"218","HTML","job83636955",0
